rowID	p_T21vsControl	fc_T21vsControl	Symbol
100113403	0.896047426	1.083734442	LIN28B-AS1
100113404	0.426954096	-1.101815813	LINC00583
100113407	0.738621297	1.409623359	TMEM170B
10011	0.147571374	1.00825445	SRA1
100124412	0.999944525	-1.116464707	FAM138E
100124516	0.989075208	1.108940797	SNORD58C
100124533	0.952110151	1.161597416	SCARNA27
100124534	0.447555661	1.259574014	SNORA84
100124535	0.978397188	-1.014593264	SNORA36C
100124536	0.194259322	-1.076971221	SNORA38B
100124537	0.999538676	1.412915686	SNORA70B
100124538	0.618756373	-1.10335089	SNORA70C
100124539	0.483323481	-1.060140928	SNORA11B
100124540	0.984793639	1.115813134	SNORA11C
100124700	0.875595718	-1.225114735	HOTAIR
100125288	0.678167173	1.127085272	ZGLP1
100125556	0.92096836	1.130518676	FAM86JP
100126270	0.99017946	-1.050083552	FMR1-AS1
100126296	0.984451096	1.043706111	MIR298
100126297	0.873516043	-1.257865012	MIR300
100126299	0.776958401	1.830586515	VTRNA2-1
100126302	0.722078757	-1.04471255	MIR450B
100126303	0.963835825	-1.027232748	MIR890
100126304	0.999927071	1.055139829	MIR891B
100126306	0.826107933	-1.075819651	MIR888
100126307	0.42068079	-1.171443055	MIR892B
100126308	0.999007549	1.148423398	MIR541
100126309	0.516560602	1.03725938	MIR875
100126310	0.941454532	1.097354238	MIR876
100126313	0.999024276	1.060490779	MIR744
100126314	0.994714201	1.07734587	MIR877
100126315	0.47206084	1.061022034	MIR665
100126316	0.999946703	1.004376761	MIR873
100126317	0.395433139	-1.039988857	MIR374B
100126318	0.818322027	1.057329587	MIR301B
100126319	0.689830791	-1.023018823	MIR216B
100126320	0.496234134	1.242739737	MIR920
100126323	0.994855087	-1.211092971	MIR924
100126324	0.800578239	1.055165888	MIR934
100126326	0.489946022	1.258473522	MIR936
100126327	0.539899318	1.149029161	MIR938
100126329	0.270536326	-1.600909288	MIR941-1
100126331	0.083179298	-1.075547701	MIR942
100126332	0.996116253	1.002698828	MIR943
100126333	0.349903453	-1.289431097	MIR708
100126334	0.764699925	1.150987707	MIR885
100126335	0.666490878	-1.404566876	MIR543
100126336	0.993072451	1.043466136	MIR208B
100126337	0.996322416	-1.045293023	MIR509-3
100126340	0.999873177	1.067168043	MIR944
100126341	0.971567341	-1.081600658	MIR891A
100126342	0.376518929	-1.04472799	MIR892A
100126343	0.907211406	-1.113905623	MIR874
100126345	0.628762638	-1.088686285	MIR889
100126346	0.98845892	-1.011588381	MIR190B
100126347	0.646417486	1.114269565	MIR887
100126348	0.699150673	1.089530656	MIR760
100126349	0.911093893	-1.084617218	MIR921
100126350	0.99997204	-1.192483207	MIR933
100126355	0.983968894	1.327391292	MIR365A
100126356	0.961262584	1.04041181	MIR365B
100126447	0.999999524	-1.02050143	LOC100126447
100126693	0.979755304	-1.102511993	LINC00322
100126780	0.346964517	-1.408172234	SNAR-G1
100126781	0.999235799	1.134099021	SNAR-F
100126784	0.023802363	-1.214843852	LEISA1
100126791	0.092058961	-1.067354122	EGOT
100126793	0.286592968	-1.071351227	GHRLOS
100127206	0.896035969	-1.070642641	MINAR2
100127888	0.379229835	-1.065781384	SLCO4A1-AS1
100127889	0.974841603	-1.005430929	row155
100127909	0.961922171	1.084135164	row156
100127910	0.765279671	-1.298648635	row157
100127946	0.892863341	-1.033859325	row158
100127947	0.867940925	1.193200896	row159
100127950	0.994150917	1.047564908	HECW1-IT1
100127974	0.223769676	-1.041596215	row161
100127983	0.993514405	1.007955151	C8orf88
100128002	0.724316473	-1.484831122	LOC100128002
100128023	0.978493142	1.102571651	DPPA2P3
100128025	0.889112838	1.211175705	WWTR1-AS1
100128028	0.998732834	1.010481341	row166
100128054	0.539801451	-1.794386967	PLCE1-AS1
100128055	0.641746755	-1.092927315	SMARCA5-AS1
100128059	0.816032862	1.124017654	LOC100128059
100128071	0.674644332	-1.119526698	FAM229A
100128075	0.578002775	-1.096611639	row171
100128076	0.948838723	-1.055592504	LOC100128076
100128077	0.546416183	-1.053115382	row173
100128081	0.983426128	-1.375061331	JAZF1-AS1
100128098	0.741400002	-2.095455658	ST8SIA6-AS1
100128105	0.094802263	1.184485418	row176
100128108	0.222286549	-1.383744458	UBE2Q2P13
100128124	0.99027145	-1.060736888	HGC6.3
100128126	0.581409057	-1.012332174	STAU2-AS1
100128130	0.268847011	1.019348245	row180
100128131	0.411017651	1.022395092	row181
100128139	0.34453198	-1.106583174	LINC01233
100128164	0.986213655	-1.09919415	FHL1P1
100128176	0.616729373	-1.087324425	UST-AS1
100128191	0.888257048	1.118468685	TMPO-AS1
100128239	0.999996124	-1.072312353	LINC02731
100128242	0.600841922	-1.167400772	row187
100128252	0.975306294	-1.015887737	ZNF667-AS1
100128262	0.994885315	-1.04866979	TNK2-AS1
100128264	0.934304765	-1.170474309	HTR5A-AS1
100128276	0.931895729	-1.309043311	LOC100128276
100128285	0.992468451	1.025990274	DNM1P35
100128288	0.992460616	1.184642561	LOC100128288
100128292	0.987262361	-1.033992526	DLG5-AS1
100128310	0.060674482	-1.160306872	CDH4-AS2
100128327	0.54393595	1.104284861	TRAPPC3L
100128338	0.397372139	-1.273943098	row197
100128340	0.028026398	-1.618324046	LOC100128340
100128343	0.998983851	1.086855608	row199
100128356	0.99986288	1.099885748	row200
100128361	0.664134577	-1.02775821	LOC100128361
100128364	0.991737202	1.008363981	row202
100128371	0.719299783	-1.100565002	row203
100128374	0.72687748	-1.049675976	row204
100128378	0.058386208	1.077611035	LINC00696
100128398	0.939106326	-1.036076039	ZNF606-AS1
100128406	0.982708905	-1.006124211	row207
100128420	0.64340463	1.321328231	LINC00892
100128496	0.697644772	1.051913671	SCP2D1-AS1
100128505	0.706377572	-1.029008336	ASTN2-AS1
100128508	0.874591861	1.079886168	row211
100128511	0.617705866	-1.10783107	NEBL-AS1
100128531	0.007124925	-1.182822082	KIAA1671-AS1
100128554	0.855053944	1.082254131	LINC02347
100128563	0.650958557	-1.094307701	row215
100128569	0.910363622	-1.010569151	TEKTIP1
100128573	0.359675364	-1.182935825	row217
100128574	0.871626146	-1.021916855	ARMCX3-AS1
100128590	0.850926641	-1.199166204	SLC8A1-AS1
100128593	0.996956594	-1.17196729	LOC100128593
100128640	0.708841393	-1.044675546	ACVR2B-AS1
100128644	0.973780661	-1.087605289	row222
100128653	0.293792728	1.056297888	LOC100128653
100128675	0.976303759	-1.134806798	HPN-AS1
100128682	0.998764685	1.007798177	LINC01531
100128714	0.998446453	1.175201292	LINC02346
100128731	0.153816372	1.000813029	OST4
100128750	0.076070201	1.179098779	RBPMS-AS1
100128751	0.717530282	-1.176000219	row229
100128770	0.295624704	-1.168444596	LOC100128770
100128782	0.994619444	1.031953715	ERCC6L2-AS1
100128787	0.999639107	1.025935957	LINC01349
100128788	0.123169218	1.182913479	SRRM2-AS1
100128811	0.591922497	1.138817402	GPR158-AS1
100128816	0.632586509	-1.677002026	row235
100128818	0.999999832	-1.003438613	row236
100128822	0.969112375	1.174328769	LINC01003
100128840	0.978695981	1.101379254	row238
100128881	0.964191528	1.107707942	VPS9D1-AS1
100128890	0.667227011	-1.115789339	FAM66B
100128893	0.991336365	-1.432679355	GATA6-AS1
100128905	0.875891959	1.034633826	LINC01960
100128908	0.921862181	1.077790446	CIROP
100128909	0.999360722	-1.041538834	row244
100128927	0.202364237	1.005586072	ZBTB42
100128946	0.999999534	1.012079394	LINC01310
100128977	0.986190904	-1.06740031	MAPT-AS1
100128979	0.127290654	-1.55513044	row248
100128988	0.999991711	1.079936996	LOC100128988
100128993	0.955391587	-1.044390814	LOC100128993
100128998	0.999999995	1.163734223	C20orf181
100129027	0.951707356	1.057977055	PCBP3-AS1
100129033	0.411738031	-1.284073417	row253
100129034	0.720980172	1.03607307	LOC100129034
100129046	0.586771121	1.090699068	BCAR3-AS1
100129055	0.976134306	-1.046949208	CCNYL4
100129060	0.976093495	1.095544635	SEMA3F-AS1
100129066	0.811532788	-1.049491473	LINC03062
100129075	0.893188725	1.055793261	KTN1-AS1
100129083	0.297669898	-1.047892193	SIGLEC10-AS1
100129094	0.323919305	-1.069521791	BTNL10P
100129098	0.861169189	-1.069569932	LOC100129098
100129128	0.982766117	1.064554922	KHDC1L
100129138	0.948288609	1.007271175	THAP3P1
100129148	0.118934466	1.027593951	LOC100129148
100129175	0.997072283	1.057973065	CFAP65-AS1
100129195	0.274296855	-1.065162155	ZSCAN16-AS1
100129196	0.332709162	1.119657414	MATN1-AS1
100129203	0.999989512	1.210269217	LOC100129203
100129213	0.979965859	-1.035331302	SLC39A12-AS1
100129215	0.999964368	-1.0600306	LOC100129215
100129223	0.977843252	-1.075844364	THCAT155
100129233	4.63E-05	1.098091533	row273
100129250	0.662345255	1.024334065	SMIM27
100129269	0.999624443	1.027800471	LINC01160
100129271	0.967081045	-1.057025343	KPLCE
100129291	0.976037213	1.243826256	LOC100129291
100129316	0.950778165	1.072978715	LOC100129316
100129345	0.990450869	1.136777088	LINC02291
100129354	0.946574159	-1.125500978	NRADDP
100129387	0.515192283	1.426209793	GABPB1-AS1
100129424	0.518827956	1.004028309	RPL19P12
100129427	0.999934666	-1.140847932	DDC-AS1
100129434	0.975851055	-1.131989213	LOC100129434
100129460	0.475452916	-1.098764804	DPY19L1P1
100129461	0.957741394	-1.10065903	LYRM4-AS1
100129464	0.99980937	-1.048828978	LINC01546
100129473	0.999936351	-1.215778771	row288
100129476	0.999999175	1.023325699	row289
100129480	0.98856994	1.263905721	MKRN2OS
100129482	0.86319117	1.206724512	ZNF37BP
100129484	0.990472384	-1.042861817	LINC02983
100129503	0.998581838	-1.139530489	row293
100129516	0.50516201	-1.091120237	LINC02012
100129518	0.742632679	-1.0587722	SOD2-OT1
100129520	0.980125692	1.131282248	TEX13C
100129534	0.884061061	1.062353541	LOC100129534
100129540	0.812333102	-1.069582471	LOC100129540
100129543	0.179871801	-1.011328359	ZNF730
100129550	0.074851334	1.382844764	LINC02035
100129583	0.999724857	1.109075793	FAM47E
100129596	0.546246739	1.069968601	row302
100129597	0.88734522	-1.076344834	LINC00462
100129617	0.887267367	1.028515376	LOC100129617
100129620	0.96866629	-1.004364663	PLPPR5-AS1
100129636	0.999399439	-1.019340124	OR2W1-AS1
100129654	0.988086848	1.001882513	TCF24
100129662	0.806486796	-1.192432136	FGF13-AS1
100129669	0.78748875	-1.145957877	IZUMO3
100129697	0.467463742	1.062824842	LOC100129697
100129703	0.561873538	1.000416792	row311
100129716	0.479542031	1.230380919	ARRDC3-AS1
100129722	0.99999895	-1.061377541	STPG3-AS1
100129726	0.580802772	-1.154257397	LINC01126
100129781	0.966093564	1.179616949	MIR193BHG
100129792	0.995975156	1.101181944	CCDC152
100129794	0.998140057	1.137323394	SLC25A21-AS1
100129800	0.830258827	-1.127738359	ZNF807P
100129827	0.327117713	-1.406175424	IRAG1-AS1
100129831	0.978809232	-1.096070149	row320
100129836	0.849363419	1.179037853	COL4A2-AS2
100129842	0.033018388	1.322259386	ZNF737
100129845	0.696805101	1.083657203	PCOLCE-AS1
100129858	0.99654611	1.133785378	SCOC-AS1
100129917	0.906330988	1.201488027	PCGF3-AS1
100129924	0.58130332	1.143453653	TMEM269
100129931	0.652506953	-1.08268278	CFAP184-OT1
100129935	0.832009287	-1.102799954	LOC100129935
100129940	0.523577844	-1.222426767	HMGA2-AS1
100129961	0.83209578	1.076199043	CCNT2-AS1
100129973	0.999965274	1.173798727	CERNA1
100129999	0.853383516	1.281152544	row332
100130015	0.900056034	1.12307164	URAHP
100130017	0.872945071	1.038916629	FTLP10
100130071	0.945780904	-1.003226074	row335
100130083	0.963011783	1.10800381	row336
100130093	0.996134775	1.058859885	row337
100130097	0.766899378	1.200861128	KIF28P
100130100	0.838915317	1.027261871	row339
100130111	1	-1.100798093	LCIIAR
100130148	0.999980504	-1.00418871	MAPT-IT1
100130155	0.998121904	-1.022676537	MIR124-2HG
100130156	0.710732338	1.100456453	row343
100130157	0.908538782	1.226863324	row344
100130169	0.220301422	1.014284918	row345
100130172	0.99872486	1.043850275	FAM13B-AS1
100130197	0.031953632	-1.055918541	EFCAB14-AS1
100130219	0.577188571	1.354588867	row348
100130231	0.942775936	1.095232087	LINC00861
100130238	0.987152436	1.026373424	GALNT9-AS1
100130249	0.555227123	1.088385154	LINC02961
100130264	0.884056328	1.046913557	SLC24A3-AS1
100130274	0.347211297	-1.026606377	CCDC166
100130275	0.708934977	-1.14665393	TFAP2A-AS1
100130285	0.999659694	1.057459823	row355
100130298	0.740213456	-1.114362373	LOC100130298
100130301	0.998505511	1.069040245	C8orf89
100130302	0.991007306	1.01367448	SUPT20HL1
100130311	0.24581257	-1.154537188	C17orf107
100130331	0.820331038	-1.04730076	LOC100130331
100130342	0.974905981	1.005968885	SCGB2B3P
100130348	0.351005404	-1.244187515	CATSPERH
100130357	0.960171062	1.122018194	LOC100130357
100130370	0.627403404	-1.036078748	LINC03048
100130386	0.835657544	1.038794592	LINC00552
100130417	0.891843552	-1.098065449	LINC02593
100130418	0.965469509	1.008056997	CECR7
100130428	0.950864855	1.335677417	row368
100130449	0.943109379	1.0129032	GPC1-AS1
100130451	0.923481412	1.039633557	SPAG16-DT
100130452	0.640871232	-1.090137233	LOC100130452
100130458	0.970216711	-1.076452388	row372
100130476	0.957769665	-1.007608433	WAKMAR2
100130480	0.936520056	-1.118420809	LINC01387
100130502	0.432051792	-1.187992485	row375
100130507	0.676923856	1.068887529	row376
100130519	0.999964322	1.007740604	TMEM221
100130522	0.96462026	-1.084495573	PARD6G-AS1
100130539	0.981594997	-1.075502616	LINC02881
100130547	0.99767877	1.079437121	row380
100130548	0.991348795	1.03903379	LOC100130548
100130557	0.131233089	-1.157541825	NFYC-AS1
100130581	0.946639109	1.096794	LINC00910
100130609	0.664670282	1.164289315	row384
100130613	0.857039487	-1.027258584	PRR32
100130673	0.999413174	-1.084727248	LOC100130673
100130691	0.912381533	1.258698023	LOC100130691
100130698	0.988243971	-1.00811789	LOC100130698
100130700	0.966859563	-1.035102314	TP53TG3HP
100130705	0.591194812	1.020820554	SPMIP1
100130717	0.993344529	1.018003542	HDHD5-AS1
100130733	0.997797269	1.155174052	LRRC70
100130742	0.997175287	1.026093086	LRRC69
100130771	0.325935981	1.100749512	EFCAB10
100130776	0.105501102	-1.050745467	AGAP2-AS1
100130815	0.740772761	-1.061187656	row396
100130827	0.991155309	-1.05025515	SBK3
100130855	0.926300006	1.058821422	USP3-AS1
100130872	0.97034076	-1.080634351	LOC100130872
100130880	0.915644077	1.068865158	CREB3L2-AS1
100130887	0.130176199	1.317421669	ATE1OSP
100130889	0.3773527	-1.053076427	PSORS1C3
100130890	0.74672383	-1.062049461	TSTD3
100130894	0.999843259	-1.020917977	VAC14-AS1
100130899	0.24217462	-1.092689963	row405
100130921	0.999794661	-1.04283055	row406
100130933	0.984531822	1.130448864	ERLN
100130934	0.093812741	-1.170316194	ZNF663P
100130938	0.198921357	-1.950058775	row409
100130950	0.657914317	-1.017071704	ZNF594-DT
100130954	0.999999336	1.059077533	LINC01502
100130958	0.119969448	-1.171926	SYCE1L
100130964	0.711676421	-1.098838735	LOC100130964
100130967	0.760049965	1.681623079	LINC02901
100130987	0.8138968	1.17627215	LOC100130987
100130988	0.518096206	-1.127889765	SPMIP7
100130992	0.999984702	1.104946124	LOC100130992
100131017	0.999530061	-1.009717269	ZNF316
100131047	0.994967888	1.12293133	DNAH8-AS1
100131060	0.825452762	-1.131749508	JUN-DT
100131067	0.976640964	1.060169036	CKMT2-AS1
100131089	0.363165382	1.167796201	SRP14-DT
100131094	0.880769029	1.075058788	DPP9-AS1
100131096	0.980980896	1.459753056	row424
100131107	0.321022134	-1.267572081	LOC100131107
100131117	0.025149146	-1.043138121	ZBTB20-AS1
100131131	0.721579065	-1.059590026	row427
100131132	0.99355591	-1.089510598	row428
100131137	0.903436666	-1.033255332	BSPH1
100131138	0.758897573	-1.124872177	VHRT
100131174	0.441657695	1.164160521	row431
100131176	0.997301933	1.016770279	WDR86-AS1
100131187	7.77E-08	1.011699672	TSTD1
100131193	0.772229412	1.113579531	CCDC183-AS1
100131205	0.746682695	1.112572478	RPL21P28
100131208	0.989619098	-1.00751541	SNAP25-AS1
100131211	0.9934871	-1.279456936	NEMP2
100131213	0.567939119	-1.090846967	ZNF503-AS2
100131234	0.999399227	-1.03153096	MIR181A1HG
100131244	0.983921159	1.039062791	ANKRD63
100131257	0.985256344	-1.00728031	LOC100131257
100131275	0.101691906	1.045006347	row442
100131289	0.859840212	1.246424155	LOC100131289
100131320	0.93881177	1.122131203	RAB6C-AS1
100131347	0.950306699	1.057409552	RDM1P5
100131366	0.923438713	-1.021565248	LINC00605
100131372	0.999471163	1.06314104	row447
100131373	0.773493736	-1.067809293	row448
100131378	0.328783052	-1.339273586	C11orf91
100131381	0.986183584	1.041368175	row450
100131390	0.566558484	1.241911469	SP9
100131395	0.789942699	-1.065322825	LOC100131395
100131434	0.00566893	-1.204656128	EOLA1-DT
100131439	0.999994869	-1.08233698	CD300LD
100131454	0.460997856	-1.123919601	DBIL5P
100131496	0.999938542	-1.102742375	LOC100131496
100131510	0.864919255	1.103691214	row457
100131530	0.983908532	1.032456081	row458
100131539	0.864893089	1.017528153	ZNF705EP
100131541	0.961687542	1.00391917	row460
100131551	0.870668257	-1.145910985	LINC00887
100131561	0.679523941	1.062682577	FKSG29
100131564	0.986828367	1.571934066	CCDC18-AS1
100131635	0.942709027	1.020537795	LOC100131635
100131655	0.882883589	1.007172571	ZNF236-DT
100131691	0.336404097	1.231986557	MZF1-AS1
100131726	0.56890117	-1.170623875	FAM83A-AS1
100131733	0.963868511	1.061795157	USP30-AS1
100131755	0.942465398	-1.009774347	ARMCX4
100131801	0.867475191	-1.132743899	PET100
100131802	0.585242109	1.020109355	row471
100131814	0.246965968	-1.159034319	AHI1-DT
100131816	0.989163456	1.033052704	UBE2DNL
100131825	0.927915333	1.001531757	CADM3-AS1
100131826	0.920785666	1.15765242	row475
100131827	0.998952515	1.236470456	ZNF717
100131897	0.994142149	-1.04737473	INSYN2B
100131902	0.86681183	-1.1209904	KRTAP25-1
100131910	0.965555102	1.069345444	row479
100131980	0.746013945	1.191445258	ZNF705G
100131998	0.133071036	-1.394162702	RRN3P3
100132074	0.997275394	-1.025479163	FOXO6
100132077	0.977064884	1.10264596	LOC100132077
100132078	0.963181429	1.013032006	LOC100132078
100132111	0.996150387	1.241681776	C2CD4D-AS1
100132116	0.995773243	-1.150380247	ACTA2-AS1
100132146	0.998909451	1.007160922	FAM240A
100132159	0.952651604	1.010430297	CALML3-AS1
100132163	0.924478187	1.272782301	PHKA2-AS1
100132174	0.993930383	-1.081055702	LINC01987
100132183	0.988445651	1.161689357	row491
100132215	0.999965413	1.003698896	EHBP1-AS1
100132234	0.975859666	1.002962643	LINC00543
100132240	0.992807218	1.164033727	row494
100132249	0.992995063	-1.086357622	LOC100132249
100132272	0.615340172	1.167878358	row496
100132273	0.910190162	1.15611331	NDUFA6-DT
100132288	0.368098463	-1.003425452	TEKT4P2
100132339	0.957510676	1.072422802	row499
100132341	0.997535382	1.06842087	CLUHP3
100132354	0.992153307	1.107844077	LINC01512
100132356	0.992707871	1.159684829	LOC100132356
100132386	0.720755304	1.067503118	KRTAP4-9
100132396	0.987706669	1.076454479	ZNF705B
100132406	0.371472251	-1.071440933	NBPF10
100132417	0.923848358	-1.082353183	FCGR1CP
100132463	0.983632115	1.039324992	CLDN24
100132464	0.928745587	-1.122885967	FAM99B
100132476	0.985719764	1.029858688	KRTAP4-7
100132481	0.867639399	1.151559351	row510
100132501	0.242418838	-1.047420365	LINC01415
100132526	0.90867157	-1.065729628	FGD5P1
100132529	0.861372215	-1.165502831	TAT-AS1
100132596	0.999972682	1.07610301	XGY2
100132618	0.942383139	-1.066524416	ZRANB2-AS1
100132677	0.977234564	1.141983977	BSN-DT
100132707	0.412611802	1.175413462	PAXIP1-AS2
100132708	0.979552338	1.116489723	CYP4F30P
100132724	0.774921343	1.07238482	DCAF13P3
100132731	0.933366588	-1.133323392	row520
100132735	0.812834115	-1.102268124	FILNC1
100132774	0.994900748	1.19110447	KDM4A-AS1
100132781	0.642322832	-1.054284497	LOC100132781
100132815	0.758050051	1.290896303	IPO5P1
100132831	0.868478225	1.006797782	TNIP2P1
100132891	0.949449019	-1.412040097	MSC-AS1
100132900	0.985181764	1.120791484	row527
100132911	0.521480182	1.414298211	DPH3P1
100132916	0.227551942	1.086030128	SHISAL2B
100132941	0.995640793	1.295240545	row530
100132963	0.555819775	1.210809609	SMIM9
100132967	0.234460459	1.2489742	FAM223A
100132979	0.918547313	1.19410777	GOLGA8DP
100132987	0.630711097	1.176913706	LINC00856
100133039	0.907661094	1.036659144	row535
100133050	0.916059603	-1.080794344	GUSBP19
100133077	0.695060279	-1.288951599	CACNA1B-AS2
100133106	0.946265195	1.042054884	row538
100133123	0.185769971	-1.104025871	LINC01203
100133161	0.876054695	1.197054634	LINC01001
100133172	0.786387303	1.105005857	FAM66A
100133190	0.210904081	1.310626989	ADIRF-AS1
100133204	0.559733105	-1.158128518	HSDL2-AS1
100133205	0.248916375	1.042790598	LINC00240
100133207	0.998547032	-1.007432066	row545
100133234	0.910020994	1.097632802	SBF1P1
100133286	0.999945272	1.022221621	CBR1-AS1
100133299	0.002385383	-1.214994696	row548
100133308	0.96970212	1.135454885	RSU1P2
100133311	0.182664407	-1.119353955	HOXA-AS3
100133315	0.681075413	1.036581818	XNDC1N
100133331	0.972260213	1.386714157	row552
100133445	0.228492117	1.11107369	row553
100133461	0.975203401	-1.005633912	LINC02171
100133545	0.994584876	1.069320714	MRPL23-AS1
100133612	0.669410855	-1.009198398	LINC01134
100133669	0.583949497	1.162166204	LY6E-DT
100133746	0.99876106	1.183609785	row558
100133957	0.183937577	-1.061978111	UXT-AS1
100133985	0.985469258	1.012725486	LINC01816
100133991	0.414874018	1.032120436	MAP3K14-AS1
100134015	0.956980113	1.137732413	UBOX5-AS1
100134229	0.519425804	1.138936049	KDM7A-DT
100134259	0.569000049	1.050931887	LINC01119
100134361	0.959347328	-1.048834589	row565
100134368	0.578765724	-1.17590379	LOC100134368
100134391	0.696198099	-1.136050007	LOC100134391
100134713	0.734701633	-1.050727321	NDUFB2-AS1
10013	0.008980498	-1.03100805	HDAC6
100141515	0.993061552	-1.126948428	C17orf99
100144595	0.972334155	1.041497664	GALNT13-AS1
100144596	0.999962555	1.057871017	LINC00029
100144597	0.97671378	-1.017701776	LINC01056
100144602	0.993749758	-1.02878641	EPHA5-AS1
100144603	0.999753386	-1.057104924	CHKB-DT
100144604	0.801140303	-1.117794363	LINC00930
100144748	0.155042576	1.365337567	KLLN
100147773	0.83381311	1.227490365	TMCO1-AS1
10014	0.86870062	-1.187831629	HDAC5
100151643	0.99917138	1.049757738	KRTAP20-4
100151683	0.896968086	-1.477462711	RNU4ATAC
100158262	0.989090119	1.639554737	SCARNA9L
10015	0.755387878	-1.112420263	PDCD6IP
100169752	0.997389132	-1.030325438	TEX36-AS1
100169851	0.951730514	-1.075232821	PATE3
100169890	0.010798183	-1.265461315	PEG3-AS1
100169989	0.832652049	-1.084440666	DBIL5P2
10016	0.111264679	1.188857399	PDCD6
100170222	0.999938351	-1.032270631	SNAR-I
100170227	0.91558642	-1.076053007	SNAR-D
100170228	0.999928686	-1.101885814	SNAR-G2
100170229	0.967448556	1.060425447	SRRM5
100170765	0.990614441	1.082450038	ERICH4
100170841	0.999334931	1.157783665	EPOP
10017	0.825361831	1.121252193	BCL2L10
100187716	0.999995395	1.079215698	MIR1224
100188893	0.423395122	1.248197983	TOMM6
100188917	0.999981005	1.053682329	row598
100188947	0.008545775	-1.016820526	HECTD2-AS1
100188949	0.296044607	-1.29627915	LINC00426
100188953	0.999516653	1.018111055	LINC00092
